('antiableesecallycallyought', 'anti', '73604', '357', '7th ', 'Tyrone', '61201', '1000', 'North North', 'Crossroads', '50534', 2001, 1, Decimal('62.32'), Decimal('86.00'), Decimal('0.00'), Decimal('48.31'), Decimal('55.55'), Decimal('3290.74'), 2002, 1)
('antieingeingablebarought', 'ese', '32477', '681', 'Eigth ', 'Liberty', '93451', '287', '7th ', 'Lakeside', '69532', 2001, 1, Decimal('32.10'), Decimal('64.20'), Decimal('0.00'), Decimal('77.83'), Decimal('143.98'), Decimal('0.00'), 2002, 1)
('antieingeingablebarought', 'ese', '35709', '615', 'Adams Valley', 'Oak Ridge', '28371', '549', 'Pine ', 'Plainview', '04283', 2001, 1, Decimal('39.33'), Decimal('49.16'), Decimal('0.00'), Decimal('50.37'), Decimal('99.73'), Decimal('0.00'), 2002, 1)
('ationeingeingablepri', 'able', '44136', '130', 'Park Mill', 'Walnut Grove', '37752', '67', 'Main West', 'Union', '78721', 2001, 1, Decimal('1.76'), Decimal('2.71'), Decimal('1.36'), Decimal('84.84'), Decimal('100.95'), Decimal('245.82'), 2002, 1)
('ationeingeingablepri', 'able', '59843', '260', '1st ', 'Red Hill', '44338', '771', 'Green Pine', 'Longwood', '57021', 2001, 1, Decimal('8.64'), Decimal('9.93'), Decimal('380.83'), Decimal('96.40'), Decimal('158.09'), Decimal('6914.11'), 2002, 1)
('ationeingeingablepri', 'able', '51904', '918', 'Elm ', 'Franklin', '39101', '550', 'Johnson ', 'Centerville', '50059', 2001, 1, Decimal('16.21'), Decimal('27.07'), Decimal('0.00'), Decimal('46.30'), Decimal('67.59'), Decimal('0.00'), 2002, 1)
('ationeingeingablepri', 'able', '51904', '147', '14th ', 'Lincoln', '61289', '885', 'Hillcrest Ash', 'Colonial Heights', '93425', 2001, 1, Decimal('65.25'), Decimal('94.61'), Decimal('1317.11'), Decimal('46.30'), Decimal('67.59'), Decimal('0.00'), 2002, 1)
('ationeingeingablepri', 'able', '44136', None, 'Railroad ', None, '54593', '802', 'Sunset ', 'Unionville', '71711', 2001, 1, Decimal('94.89'), Decimal('148.02'), Decimal('0.00'), Decimal('84.84'), Decimal('100.95'), Decimal('245.82'), 2002, 1)
('ationeingeingablepri', 'anti', '32812', '64', 'Washington South', 'Shady Grove', '52812', '952', '6th Oak', 'New Hope', '79431', 2001, 1, Decimal('92.76'), Decimal('93.68'), Decimal('0.00'), Decimal('44.14'), Decimal('61.35'), Decimal('0.00'), 2002, 1)
('ationeingeingablepri', 'bar', '53451', '936', 'Johnson Meadow', 'Oakwood', '40169', '564', 'View ', 'Bridgeport', '55817', 2001, 1, Decimal('92.97'), Decimal('121.79'), Decimal('0.00'), Decimal('56.25'), Decimal('101.81'), Decimal('0.00'), 2002, 1)
('ationeingeingablepri', 'ought', '33604', '444', 'Dogwood Forest', 'Shady Grove', '32812', '848', None, 'Lincoln', None, 2001, 1, Decimal('96.46'), Decimal('169.76'), Decimal('0.00'), Decimal('85.98'), Decimal('89.41'), Decimal('1756.94'), 2002, 1)
('n stablen stoughtantiought', 'able', '44136', '49', 'Broadway ', 'Walnut Grove', '37752', '610', 'Green ', 'Marion', '30399', 2001, 1, Decimal('69.93'), Decimal('132.16'), Decimal('0.00'), Decimal('95.74'), Decimal('163.71'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'bar', '75709', '994', 'Williams ', 'Summit', '80499', '735', '9th ', 'Oakland', '79843', 2001, 1, Decimal('32.37'), Decimal('54.05'), Decimal('0.00'), Decimal('27.90'), Decimal('54.96'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'bar', '75709', '174', 'Poplar ', 'Jamestown', '36867', '560', 'Fifth Seventh', 'Spring Valley', '86060', 2001, 1, Decimal('65.61'), Decimal('86.60'), Decimal('600.65'), Decimal('27.90'), Decimal('54.96'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'bar', '65281', '92', '6th Lincoln', 'Forest Hills', '29237', '693', 'Third 1st', 'Rossville', '52503', 2001, 1, Decimal('80.01'), Decimal('84.81'), Decimal('0.00'), Decimal('77.29'), Decimal('100.47'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'cally', '20059', '713', 'Main ', 'Green Acres', '37683', '852', None, 'Stringtown', None, 2001, 1, Decimal('70.60'), Decimal('118.60'), Decimal('2079.90'), Decimal('56.97'), Decimal('67.79'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'ese', '49431', '316', '14th First', 'Georgetown', '27057', '975', 'Pine ', 'Hopewell', '60587', 2001, 1, Decimal('17.35'), Decimal('24.11'), Decimal('256.84'), Decimal('84.60'), Decimal('135.36'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'ese', '32477', '70', 'North ', 'Deerfield', '29840', '268', 'Willow Valley', 'Florence', '43394', 2001, 1, Decimal('78.96'), Decimal('89.22'), Decimal('0.00'), Decimal('45.47'), Decimal('73.20'), Decimal('499.59'), 2002, 1)
('n stablen stoughtantiought', 'ese', '49431', '100', 'Second ', 'Union Hill', '37746', '326', 'Valley East', 'Bethel', '25281', 2001, 1, Decimal('82.26'), Decimal('120.09'), Decimal('0.00'), Decimal('84.60'), Decimal('135.36'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'ought', '28721', '663', 'Railroad ', 'Highland', '89454', '756', '6th Sunset', 'Franklin', '29101', 2001, 1, Decimal('66.78'), Decimal('86.81'), Decimal('0.00'), Decimal('70.96'), Decimal('134.11'), Decimal('0.00'), 2002, 1)
('n stablen stoughtantiought', 'pri', '28828', '614', '1st Fifth', 'Waterloo', '61675', '833', '9th ', 'Newtown', '21749', 2001, 1, Decimal('66.51'), Decimal('97.76'), Decimal('0.00'), Decimal('94.72'), Decimal('125.97'), Decimal('0.00'), 2002, 1)
('n stationbarableableought', 'able', '65709', '459', '13th ', 'Greenville', '21387', '578', 'Oak ', 'Mountain View', '54466', 2001, 1, Decimal('32.15'), Decimal('49.18'), Decimal('0.00'), Decimal('16.69'), Decimal('25.20'), Decimal('0.00'), 2002, 1)
('n stationbarableableought', 'able', '39843', '888', '4th ', 'Summit', '60499', '894', '8th Maple', 'Hopewell', '60587', 2001, 1, Decimal('71.79'), Decimal('139.99'), Decimal('152.25'), Decimal('59.89'), Decimal('60.48'), Decimal('0.00'), 2002, 1)
('n stationbarableableought', 'ation', '31904', '196', 'View ', 'Summit', '80499', '522', '4th ', 'Mount Olive', '78059', 2001, 1, Decimal('37.29'), Decimal('57.42'), Decimal('122.57'), Decimal('40.07'), Decimal('66.51'), Decimal('0.00'), 2002, 1)
('n stationbarableableought', 'bar', '69231', '715', 'Lake 6th', 'Shady Grove', '32812', None, 'Lincoln Broadway', None, None, 2001, 1, Decimal('98.57'), Decimal('111.38'), Decimal('894.86'), Decimal('73.76'), Decimal('136.45'), Decimal('519.27'), 2002, 1)
('n stationbarableableought', 'bar', '69231', '715', 'Lake 6th', 'Shady Grove', '32812', None, 'Lincoln Broadway', None, None, 2001, 1, Decimal('98.57'), Decimal('111.38'), Decimal('894.86'), Decimal('81.00'), Decimal('132.03'), Decimal('0.00'), 2002, 1)
('n stationbarableableought', 'pri', '38828', '312', 'Washington Jefferson', 'Salem', '68048', '757', 'Church Center', 'Enterprise', '21757', 2001, 1, Decimal('58.07'), Decimal('67.94'), Decimal('0.00'), Decimal('31.37'), Decimal('43.29'), Decimal('0.00'), 2002, 1)
('n stationbarableableought', 'pri', '38828', '312', 'Washington Jefferson', 'Salem', '68048', '757', 'Church Center', 'Enterprise', '21757', 2001, 1, Decimal('58.07'), Decimal('67.94'), Decimal('0.00'), Decimal('52.77'), Decimal('73.35'), Decimal('0.00'), 2002, 1)
('n steingn stationese', 'ation', '45281', '852', 'Willow ', 'Lakeview', '58579', '498', 'Lincoln North', 'Riverview', '99003', 2001, 1, Decimal('25.92'), Decimal('37.58'), Decimal('0.00'), Decimal('52.08'), Decimal('52.60'), Decimal('0.00'), 2002, 1)
('n steingn stationese', 'ese', '29231', '164', '3rd ', 'Willow', '76798', '543', 'Cherry Hickory', 'Wilson', '56971', 2001, 1, Decimal('72.70'), Decimal('117.04'), Decimal('0.00'), Decimal('73.73'), Decimal('88.47'), Decimal('96.95'), 2002, 1)
('n steingn stationese', 'ese', '39843', '509', '6th Main', 'Mount Pleasant', '62739', '303', 'Chestnut ', 'Green Acres', '47683', 2001, 1, Decimal('85.18'), Decimal('110.73'), Decimal('0.00'), Decimal('45.95'), Decimal('91.44'), Decimal('275.61'), 2002, 1)
('oughtbarationeseation', 'able', '49431', '935', 'View Hill', 'Springfield', '39303', '272', 'Willow ', 'Oak Hill', '37838', 2001, 1, Decimal('12.44'), Decimal('21.77'), Decimal('0.00'), Decimal('66.57'), Decimal('73.22'), Decimal('1013.35'), 2002, 1)
('oughtbarationeseation', 'able', '38721', '680', 'First Elm', 'Montezuma', '52150', '516', 'Forest Main', 'Oakland', '89843', 2001, 1, Decimal('36.88'), Decimal('44.62'), Decimal('0.00'), Decimal('2.08'), Decimal('2.47'), Decimal('0.00'), 2002, 1)
('oughtbarationeseation', 'bar', '35281', '181', 'Laurel ', 'Stringtown', '70162', '15', 'Lincoln ', 'Summit', '10499', 2001, 1, Decimal('51.49'), Decimal('98.86'), Decimal('0.00'), Decimal('23.80'), Decimal('39.98'), Decimal('844.16'), 2002, 1)
('oughtbarationeseation', 'cally', '46098', '709', 'South ', 'Florence', '43394', '654', 'Church ', 'Riverdale', '59391', 2001, 1, Decimal('78.99'), Decimal('86.88'), Decimal('2671.25'), Decimal('21.99'), Decimal('32.54'), Decimal('0.00'), 2002, 1)
('oughtbarationeseation', 'cally', '46098', '709', 'South ', 'Florence', '43394', '654', 'Church ', 'Riverdale', '59391', 2001, 1, Decimal('78.99'), Decimal('86.88'), Decimal('2671.25'), Decimal('96.15'), Decimal('181.72'), Decimal('0.00'), 2002, 1)
('oughtbarationeseation', 'eing', '45281', '760', 'Ridge ', 'Greenville', '71387', '591', 'East ', 'Fairview', '45709', 2001, 1, Decimal('24.18'), Decimal('42.07'), Decimal('0.00'), Decimal('49.90'), Decimal('70.85'), Decimal('0.00'), 2002, 1)
('oughtbarationeseation', 'eing', '29843', '477', '8th ', 'Greenwood', '78828', '697', 'Church Jefferson', 'Edgewood', '80069', 2001, 1, Decimal('89.49'), Decimal('171.82'), Decimal('0.00'), Decimal('9.77'), Decimal('10.25'), Decimal('94.09'), 2002, 1)
('oughtbarationeseation', 'ese', '43604', '621', '3rd ', 'Clearwater', '19534', '282', 'Laurel ', None, '78948', 2001, 1, Decimal('28.11'), Decimal('52.00'), Decimal('0.00'), Decimal('4.22'), Decimal('5.14'), Decimal('0.00'), 2002, 1)
('oughtbarationeseation', 'ese', '28828', '437', 'Miller ', 'Bridgeport', '15817', '593', 'North ', 'Five Points', '26098', 2001, 1, Decimal('89.54'), Decimal('127.14'), Decimal('0.00'), Decimal('58.41'), Decimal('64.25'), Decimal('0.00'), 2002, 1)
('oughtbarationeseation', 'ought', '21904', '568', 'Jefferson Pine', 'Mountain View', '44466', '594', 'Spruce ', 'Stringtown', '30162', 2001, 1, Decimal('3.69'), Decimal('4.31'), Decimal('0.00'), Decimal('88.40'), Decimal('90.16'), Decimal('2663.43'), 2002, 1)
('priableoughtcally', 'cally', '34136', '253', 'Second Seventh', 'Valley View', '45124', '518', 'Miller ', 'Friendship', '84536', 2001, 1, Decimal('64.32'), Decimal('112.56'), Decimal('0.00'), Decimal('62.33'), Decimal('91.00'), Decimal('107.78'), 2002, 1)
('priableoughtcally', 'cally', '34136', '253', 'Second Seventh', 'Valley View', '45124', '518', 'Miller ', 'Friendship', '84536', 2001, 1, Decimal('64.32'), Decimal('112.56'), Decimal('0.00'), Decimal('63.32'), Decimal('121.57'), Decimal('0.00'), 2002, 1)
('priableoughtcally', 'eing', '29843', '800', '1st ', 'Mount Vernon', '29127', '289', 'Hickory ', 'Highland', '19454', 2001, 1, Decimal('43.25'), Decimal('69.63'), Decimal('0.00'), Decimal('90.25'), Decimal('129.96'), Decimal('0.00'), 2002, 1)
('priableoughtcally', 'ese', '56098', '781', 'East Oak', 'Wildwood', '66871', '438', 'Dogwood Park', 'Deerfield', '29840', 2001, 1, Decimal('58.85'), Decimal('106.51'), Decimal('128.22'), Decimal('91.74'), Decimal('122.93'), Decimal('0.00'), 2002, 1)
('priableoughtcally', 'ese', '38828', '915', 'West ', 'Dewey', '51160', '754', 'Mill Second', 'Mount Pleasant', '42739', 2001, 1, Decimal('88.84'), Decimal('157.24'), Decimal('0.00'), Decimal('28.86'), Decimal('46.75'), Decimal('0.00'), 2002, 1)
('priableoughtcally', 'ought', '35709', '997', 'Spring Mill', 'Highland Park', '36534', '611', 'Cedar Elm', 'Antioch', '88605', 2001, 1, Decimal('50.80'), Decimal('51.30'), Decimal('0.00'), Decimal('72.95'), Decimal('99.94'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'able', '45709', '600', 'Wilson ', 'Macedonia', '41087', '830', '7th ', 'Bridgeport', '25817', 2001, 1, Decimal('52.60'), Decimal('87.84'), Decimal('0.00'), Decimal('2.61'), Decimal('3.39'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'able', '45709', '600', 'Wilson ', 'Macedonia', '41087', '830', '7th ', 'Bridgeport', '25817', 2001, 1, Decimal('52.60'), Decimal('87.84'), Decimal('0.00'), Decimal('5.65'), Decimal('7.11'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'able', '45709', '315', 'Park ', 'Mount Vernon', '69127', '350', 'East View', 'Ashland', '74244', 2001, 1, Decimal('78.72'), Decimal('122.01'), Decimal('0.00'), Decimal('2.61'), Decimal('3.39'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'able', '45709', '315', 'Park ', 'Mount Vernon', '69127', '350', 'East View', 'Ashland', '74244', 2001, 1, Decimal('78.72'), Decimal('122.01'), Decimal('0.00'), Decimal('5.65'), Decimal('7.11'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'able', '45709', '582', 'Fourth ', 'Oak Grove', '28370', '879', 'Highland River', 'Sulphur Springs', '88354', 2001, 1, Decimal('87.36'), Decimal('92.60'), Decimal('0.00'), Decimal('2.61'), Decimal('3.39'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'able', '45709', '582', 'Fourth ', 'Oak Grove', '28370', '879', 'Highland River', 'Sulphur Springs', '88354', 2001, 1, Decimal('87.36'), Decimal('92.60'), Decimal('0.00'), Decimal('5.65'), Decimal('7.11'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'eing', '41904', '872', 'Park ', 'Riverside', '29231', '724', '1st ', 'Oak Grove', '38370', 2001, 1, Decimal('26.86'), Decimal('37.33'), Decimal('0.00'), Decimal('87.38'), Decimal('131.07'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'ese', '53604', '779', '1st ', 'Hopewell', '40587', '736', 'Willow 10th', 'Centerville', '80059', 2001, 1, Decimal('13.61'), Decimal('23.27'), Decimal('0.00'), Decimal('33.04'), Decimal('58.48'), Decimal('0.00'), 2002, 1)
('pricallyableoughtbarought', 'ese', '56098', '183', 'Davis ', 'Hopewell', '70587', '528', None, 'Marion', None, 2001, 1, Decimal('50.34'), Decimal('51.34'), Decimal('0.00'), Decimal('13.25'), Decimal('20.00'), Decimal('51.15'), 2002, 1)
('pricallyableoughtbarought', 'n st', '32812', '962', 'Eigth ', 'Sugar Hill', '15114', '372', 'Oak Birch', 'Shady Grove', '42812', 2001, 1, Decimal('71.88'), Decimal('110.69'), Decimal('0.00'), Decimal('24.73'), Decimal('43.52'), Decimal('0.00'), 2002, 1)
