('AAAAAAAAAAAMDAAA', 'West, Marlin')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAEJGBAA', 'Malone, Phyllis')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFEIAAA', 'Schaeffer, Robert')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFFEAAA', 'Ferris, Mark')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
('AAAAAAAAAAFHLAAA', 'Barnett, James')
