('Allen', 'Joshua', 'Mr.', 'N', 8227554, 5)
('Styles', 'Jonathan', 'Sir', 'N', 18898193, 5)
('Talley', 'Anthony', 'Ms.', 'Y', 6044312, 5)
('Vanwinkle', 'Ida', 'Mrs.', 'N', 23503477, 5)
('Venable', 'Betty', 'Miss', 'Y', 9383093, 5)
('Vincent', 'Ginger', 'Mrs.', 'N', 18283258, 5)
('Washington', 'Sylvia', 'Mrs.', 'N', 5431045, 5)
('Washington', 'Carl', 'Sir', 'Y', 18232462, 5)
('Watts', 'Sean', 'Sir', 'N', 13393579, 5)
('Webb', 'Jessica', 'Ms.', 'Y', 9214948, 5)
('Weber', 'Barry', 'Dr.', 'Y', 10767264, 5)
('Weber', 'Linda', 'Miss', 'Y', 15234021, 5)
('Welch', 'Brian', 'Sir', 'Y', 16740697, 5)
('West', 'Jonathon', 'Mr.', 'N', 19516604, 5)
('Williams', 'Chad', 'Dr.', 'Y', 9137220, 5)
('Woodworth', 'George', 'Mr.', 'Y', 9531249, 5)
('Wright', 'Joel', 'Mr.', 'Y', 20997034, 5)
(None, 'Genevieve', 'Ms.', 'Y', 22575823, 5)
(None, None, None, 'Y', 13508578, 5)
(None, 'John', 'Dr.', 'N', 8304748, 5)
(None, 'Sonia', 'Mrs.', 'N', 8135922, 5)
(None, 'Terry', None, None, 20506099, 5)
(None, 'Christopher', 'Mr.', 'N', 18970825, 5)
(None, 'Richard', 'Dr.', None, 2954186, 5)
(None, None, 'Ms.', 'Y', 10427613, 5)
('Akers', 'Amanda', 'Dr.', 'Y', 4521256, 4)
('Appleton', 'Jennifer', 'Miss', 'N', 18560837, 4)
('Casey', 'Timothy', 'Dr.', 'Y', 10857903, 4)
('Connor', 'John', 'Dr.', 'N', 6469851, 4)
('Cox', 'Benny', 'Dr.', 'Y', 12142454, 4)
('Escobar', 'Janice', 'Ms.', 'Y', 13857594, 4)
('Hackett', 'Bridgette', 'Ms.', 'Y', 17718502, 4)
('Holden', 'Robert', 'Dr.', 'Y', 4801913, 4)
('Lam', 'Rachel', 'Mrs.', 'Y', 8696880, 4)
('Lopez', 'Jeffrey', 'Sir', 'N', 6859113, 4)
('Mathews', 'Thomas', 'Dr.', 'Y', 13774810, 4)
('Mcgraw', 'Derek', 'Sir', 'N', 14113823, 4)
('Nelson', 'Karen', 'Ms.', 'Y', 14262571, 4)
('Nunez', 'Nancy', 'Mrs.', 'N', 16562418, 4)
('Robinson', 'Donald', 'Sir', 'Y', 12908322, 4)
('Simone', 'Clayton', 'Dr.', 'Y', 3737782, 4)
('Terry', 'Mark', 'Dr.', 'Y', 16567240, 4)
('Thompson', 'Irene', 'Miss', 'Y', 2818837, 4)
('Todd', 'William', 'Mr.', 'Y', 8509519, 4)
('Trout', 'Steven', 'Sir', 'N', 5911647, 4)
('Weaver', 'Michael', 'Sir', 'N', 16343897, 4)
('White', 'Dottie', 'Dr.', 'Y', 19270222, 4)
('Wood', 'Ernest', 'Dr.', 'N', 2159913, 4)
